Time,temperature
15:07:02,22.75
15:07:04,22.75
15:07:06,22.75
15:07:09,23.0
15:07:11,23.0
15:07:13,22.75
15:07:15,22.75
15:07:17,22.75
15:07:19,22.75
15:07:22,22.75
15:07:24,23.0
15:07:26,22.75
15:07:28,22.75
15:07:30,23.0
15:07:33,22.75
15:07:35,22.75
15:07:37,23.0
15:07:39,22.75
15:07:41,22.75
15:07:44,22.75
15:07:46,22.75
15:07:48,22.75
15:07:50,22.75
15:07:52,23.0
15:07:55,22.75
15:07:57,22.75
15:07:59,23.0
15:08:01,23.0
15:08:03,22.75
15:08:06,22.75
15:08:08,23.0
15:08:10,23.0
15:08:12,22.75
15:08:14,23.0
15:08:17,23.0
15:08:19,23.0
