Time,temperature
14:36:12,25.25
14:36:14,25.25
14:36:16,25.25
14:36:19,25.25
14:36:21,25.25
14:36:23,25.25
14:36:25,25.25
14:36:28,25.25
14:36:32,25.25
14:36:51,25.25
14:36:53,25.25
14:36:55,25.25
14:36:57,25.25
14:36:59,25.25
14:37:01,25.25
14:37:03,25.25
14:37:05,25.25
14:37:07,25.25
14:37:09,25.25
14:37:12,25.0
14:37:14,25.25
14:37:16,25.25
14:37:18,25.25
14:37:20,25.25
14:37:22,25.25
14:37:24,25.25
14:37:26,25.25
14:37:28,25.25
14:37:30,25.25
14:37:32,25.25
14:37:35,25.25
14:37:37,25.25
14:37:39,25.25
14:37:41,25.25
14:37:43,25.25
14:37:45,25.0
14:37:47,25.0
14:37:49,25.25
14:37:51,25.25
14:37:53,25.0
14:37:56,25.25
14:37:58,25.0
14:38:00,25.25
14:38:02,25.0
14:38:04,25.0
14:38:06,25.0
14:38:08,25.0
14:38:10,25.0
14:38:12,25.0
14:38:14,24.75
14:38:16,25.0
14:38:19,24.75
14:38:21,25.0
14:38:23,25.0
14:38:25,24.75
14:38:27,24.75
14:38:29,24.75
14:38:31,24.75
14:38:33,24.75
14:38:35,25.0
14:38:37,24.75
14:38:40,24.75
14:38:42,24.75
14:38:44,24.75
14:38:46,24.75
14:38:48,24.75
14:38:50,24.75
