Time,temperature
12:43:08,23.5
12:43:11,23.5
12:43:14,23.5
12:43:17,23.5
12:43:20,23.5
12:43:23,23.5
12:43:26,23.5
12:43:29,23.5
12:43:32,23.5
12:43:35,23.5
12:43:38,23.75
12:43:41,23.75
12:43:44,23.5
12:43:47,23.5
12:43:50,23.75
12:43:53,23.5
12:43:56,23.75
12:43:59,23.5
12:44:02,23.75
12:44:05,23.5
12:44:08,23.75
12:44:11,23.5
12:44:14,23.75
12:44:17,23.75
12:44:20,23.5
12:44:23,23.5
12:44:26,23.75
12:44:29,23.5
12:44:32,23.5
12:44:35,23.75
12:44:38,23.75
12:44:41,23.75
12:44:44,23.75
12:44:48,23.75
12:44:50,23.75
12:44:53,23.75
12:44:56,23.75
12:45:00,23.75
12:45:02,23.75
12:45:05,23.75
12:45:09,23.75
12:45:11,23.75
12:45:14,23.75
12:45:17,23.75
12:45:21,23.75
12:45:23,23.75
12:45:26,23.75
12:45:30,23.75
12:45:33,23.75
12:45:35,23.75
12:45:38,23.75
12:46:21,23.5
12:46:24,23.75
12:47:12,23.5
12:47:15,23.75
12:47:18,23.75
12:47:21,23.75
12:47:24,23.75
12:47:27,23.5
12:47:30,23.75
12:47:33,23.75
12:47:36,23.75
12:47:39,23.75
12:47:42,23.75
12:47:45,23.75
12:47:48,23.75
12:47:51,23.75
12:47:54,23.75
12:47:57,23.75
12:48:01,23.75
12:48:03,23.75
12:48:06,23.75
12:48:09,23.75
12:48:13,23.75
12:48:15,23.75
12:48:18,23.75
12:48:22,23.75
12:48:24,23.75
12:48:27,23.75
12:48:30,23.75
12:48:34,23.75
12:48:36,23.75
12:48:39,23.75
12:48:42,23.75
12:48:46,23.75
12:48:48,23.75
12:48:51,23.75
12:48:55,nan
12:48:57,23.75
12:49:00,23.75
12:49:03,23.75
12:49:07,23.75
12:49:09,23.75
12:49:12,23.75
12:49:16,23.75
12:49:19,23.75
12:49:21,23.75
12:49:24,23.75
12:49:28,23.75
12:50:07,23.5
12:50:10,23.75
12:50:12,23.5
12:50:16,23.5
12:51:04,23.5
12:51:06,23.25
12:51:10,23.5
12:51:13,23.5
12:51:16,23.5
12:51:19,23.5
12:51:22,23.5
12:51:25,23.5
12:51:28,23.5
12:51:31,23.5
12:51:34,23.5
12:51:37,23.5
12:51:40,23.5
12:51:43,23.5
12:51:46,23.5
12:51:49,23.5
12:51:52,23.5
12:51:55,23.5
12:51:58,23.5
12:52:01,23.5
12:52:04,23.5
12:52:07,23.5
12:52:10,23.5
12:52:13,23.5
12:52:16,23.5
12:52:19,23.5
12:52:22,23.5
12:52:25,23.5
12:52:28,23.5
12:52:31,23.5
12:52:34,23.5
12:52:37,23.5
12:52:40,23.5
12:52:43,23.5
12:52:46,23.5
12:52:49,23.5
12:52:52,23.5
12:52:55,23.25
12:52:58,23.5
12:53:01,23.5
12:53:04,23.5
12:53:07,23.5
12:53:10,23.5
12:53:13,23.5
12:53:16,23.5
12:53:20,23.75
12:53:22,23.5
12:53:25,23.5
12:53:28,23.5
12:53:32,23.5
12:53:34,23.5
12:53:37,23.5
12:53:41,23.5
12:53:43,23.5
12:53:46,23.5
12:53:49,23.5
12:53:53,23.5
12:53:55,23.5
12:53:58,23.5
12:54:02,23.5
12:54:05,23.5
12:54:07,23.5
12:54:10,23.5
12:54:14,23.75
12:54:17,23.5
12:54:19,23.5
12:54:23,23.5
12:54:26,23.5
12:54:28,23.5
12:54:31,23.5
12:54:35,23.5
12:54:38,23.5
12:54:40,23.5
12:54:43,23.5
12:54:47,23.5
12:54:50,23.5
12:54:52,23.75
12:54:56,23.5
12:54:59,23.5
12:55:01,23.5
12:55:04,23.5
12:55:08,23.75
12:55:11,23.5
12:55:13,23.75
12:55:17,23.75
12:55:20,23.75
12:55:23,23.5
12:55:25,23.75
12:55:29,23.5
12:55:32,23.5
12:55:35,23.5
12:55:38,23.75
12:55:41,23.75
12:55:44,23.75
