Time,temperature
14:04:13,25.0
14:04:16,25.0
14:04:18,25.0
14:04:20,25.0
14:04:22,25.0
14:04:25,25.0
14:04:27,25.0
14:04:29,25.0
14:04:31,25.0
14:04:33,25.0
14:04:36,25.0
14:04:38,25.0
14:04:40,25.0
14:04:42,25.0
14:04:44,25.0
14:04:47,25.0
14:04:49,25.0
14:04:51,25.0
14:04:53,25.0
14:04:55,25.0
14:04:58,25.0
14:05:00,25.0
14:05:02,25.0
14:05:04,25.25
14:05:06,25.25
14:05:09,25.25
14:05:11,25.0
14:05:13,25.25
14:05:15,25.25
14:05:17,25.0
14:05:20,25.25
14:05:22,25.0
14:05:24,25.25
14:05:26,25.25
14:05:28,25.25
14:05:31,25.25
14:05:33,25.25
14:05:35,25.25
14:05:37,25.25
14:05:39,25.25
14:05:42,25.25
14:05:44,25.25
14:05:46,25.25
14:05:48,25.25
14:05:51,25.25
14:05:53,25.25
14:05:55,25.25
14:05:57,25.25
14:05:59,25.25
14:06:02,25.25
14:06:04,25.25
14:06:06,25.25
14:06:08,25.25
14:06:10,25.25
14:06:13,25.25
14:06:15,25.25
14:06:17,25.25
14:06:19,25.25
14:06:29,25.25
14:06:32,25.25
14:06:33,25.5
14:06:39,25.5
14:06:41,25.5
14:06:43,25.25
14:06:45,25.25
14:06:47,25.25
14:06:49,25.25
14:06:51,25.25
14:06:54,25.25
14:06:56,25.25
14:06:58,25.25
14:07:00,25.25
14:07:02,25.25
14:07:04,25.25
14:07:06,25.25
14:07:08,25.25
14:07:11,25.25
14:07:13,25.25
14:07:15,25.25
14:07:17,25.25
14:07:19,25.5
14:07:21,25.25
